bowler,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Naveen-ul-Haq,0,1,0,2,1,1,0,0,1,0,2,1,0,0,4,1,3,3,1,4
Nithish Kumar Reddy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Noor Ahmad,0,0,0,0,0,1,5,2,0,1,4,2,1,1,2,1,2,2,0,0
O Thomas,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
OC McCoy,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,5
OF Smith,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
P Amarnath,0,0,0,0,0,0,0,1,0,0,2,1,0,1,1,1,0,0,0,0
P Awana,0,2,0,3,3,5,2,0,1,2,3,0,2,1,1,1,3,4,6,0
P Dubey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P Kumar,15,2,12,4,5,2,4,2,2,0,1,2,1,1,1,4,5,8,7,12
P Negi,1,0,1,0,0,0,1,2,5,4,1,1,5,4,1,1,0,3,0,4
P Parameswaran,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3
